ward_code,min_lon,min_lat,max_lon,max_lat
BA1613,9.927077,11.455465,10.050648,11.537706
JI1108,9.819415,11.346445,9.889473,11.46597
61307,6.274398,13.5327,6.364208,13.594196
CRSAKP07,8.069304,5.352667,8.260227,5.581887
BA1618,9.996556,11.391647,10.039241,11.464332
ABSHAF13,7.734406,5.77489,7.793936,5.796064
CRSTGD02,7.982346,5.913308,8.05281,5.99846
OYSSWT10,3.38315,8.656166,3.496298,8.698297
OSSIET10,4.512861,7.270474,4.623478,7.413568
OYSISN09,3.450995,7.926687,3.543384,8.006668
OYSOLA03,4.204627,7.848506,4.397185,8.014213
CRSGGJ09,8.513236,6.356663,8.738904,6.543923
BA1615,9.930463,11.396578,10.003347,11.488966
BA1608,10.027739,11.428013,10.131972,11.533338
BNSWDP13,9.157689,6.813113,9.262534,6.912473
EDSAFZ11,6.053418,6.996683,6.153675,7.053115
11903,13.270484,11.933224,13.407918,12.054545
11904,13.363579,12.028753,13.597753,12.25698
12611,12.950421,12.511548,13.17056,12.621608
10703,12.634873,11.125307,12.806103,11.306902
KWSBDU02,4.41828,8.5591,4.522845,8.710337
11412,12.220627,11.340234,12.442137,11.597053
BA1612,9.978817,11.261368,10.094371,11.364631
BA1603,9.911917,11.275648,9.98876,11.362549
BA1605,9.933563,11.325786,10.014026,11.432959
11901,13.553747,11.65068,13.779322,12.011906
BA1614,9.87608,11.347374,9.94957,11.444943
BA1604,9.851185,11.440158,9.946317,11.519833
11109,13.853236,11.148188,14.003611,11.32607
BA1617,10.090299,11.451131,10.190314,11.574768
11304,13.059552,11.960619,13.22465,12.189255
11406,12.506823,11.621908,12.665939,11.783588
10608,12.676931,10.912731,12.828283,11.016769
11306,13.092257,11.725382,13.198947,11.811021
BA1609,9.998189,11.23622,10.145678,11.442654
BA1606,9.954425,11.518426,10.047628,11.606281
10207,12.588324,10.435698,12.843615,10.782297
BA1610,10.086278,11.390217,10.256801,11.490719
12205,12.518804,13.060728,12.662621,13.307691
11308,13.205331,11.898591,13.289872,12.039869
RVSGGU08,7.190197,4.670753,7.234001,4.710399
BA1602,9.85827,11.488169,9.960637,11.61208
11204,12.284659,10.467502,12.383576,10.59623
12203,12.487729,13.067094,12.548332,13.146535
11006,13.323873,12.546232,13.474483,12.712367
11310,13.085196,11.882533,13.236911,12.016405
11312,13.017332,11.715194,13.101868,11.825035
BA1106,9.827018,11.684205,9.953695,11.770024
BA1003,9.751866,11.691472,9.912906,11.82357
12008,12.735005,12.138151,12.836336,12.215037
BA1108,9.863432,11.565353,9.938654,11.63937
